clusterid,queryID,class,gene,allele,seqID,accession,positions,size,cluster_contains_multiple_genes,gene_found_in_multiple_clusters,bla_description,bla_class,CARD_class,ARO_class
2,aac(3)-Ia.v2,AGly,AAC(3),aac(3)-Ia.v2,3488,NG_047232.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-Ib.v1,AGly,AAC(3),aac(3)-Ib.v1,3489,NG_047257.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-Via.v1,AGly,AAC(3),aac(3)-Via.v1,3490,NG_052583.3,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-C1264,AGly,AAC(3),aac(3)-C1264,3722,NG_242158.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-29a,AGly,AAC(6'),aac(6')-29a,28,NG_048575.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-29b,AGly,AAC(6'),aac(6')-29b,29,NG_048576.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-30/aac(6')-Ib',AGly,AAC(6'),aac(6')-30/aac(6')-Ib',30,NG_047213.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-31,AGly,AAC(6'),aac(6')-31,31,NG_047265.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-32,AGly,AAC(6'),aac(6')-32,32,NG_047266.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-33,AGly,AAC(6'),aac(6')-33,33,NG_047267.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-34,AGly,AAC(6'),aac(6')-34,34,KX531053.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-I30,AGly,AAC(6'),aac(6')-I30,35,NG_047268.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ia,AGly,AAC(6'),aac(6')-Ia,36,NG_051679.1:101-658,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Iaa,AGly,AAC(6'),aac(6')-Iaa,37,CP065639.1:2906281-2906718,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Iad,AGly,AAC(6'),aac(6')-Iad,38,NG_047276.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Iae,AGly,AAC(6'),aac(6')-Iae,39,NG_047277.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Iaf,AGly,AAC(6'),aac(6')-Iaf,40,NG_047278.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Iag,AGly,AAC(6'),aac(6')-Iag,41,NG_052025.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Iai,AGly,AAC(6'),aac(6')-Iai,42,NG_047279.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Iaj,AGly,AAC(6'),aac(6')-Iaj,43,NG_051491.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Iak,AGly,AAC(6'),aac(6')-Iak,44,NG_047280.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ian,AGly,AAC(6'),aac(6')-Ian,45,NG_047282.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-G.v3,AGly,AAC(6'),aac(6')-Ib-G.v3,46,NG_047291.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-cr,AGly,AAC(6'),aac(6')-Ib-cr,47,NG_052213.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-SK,AGly,AAC(6'),aac(6')-SK,50,NG_052084.1:101-574,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib',AGly,AAC(6'),aac(6')-Ib',53,NG_051695.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib11,AGly,AAC(6'),aac(6')-Ib11,55,NG_048578.1:101-670,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib3,AGly,AAC(6'),aac(6')-Ib3,56,NG_051438.1:20-574,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib4,AGly,AAC(6'),aac(6')-Ib4,57,NG_051844.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ic,AGly,AAC(6'),aac(6')-Ic,61,NG_047294.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-If,AGly,AAC(6'),aac(6')-If,62,NG_047295.2:101-550,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ig,AGly,AAC(6'),aac(6')-Ig,63,NG_047296.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ih,AGly,AAC(6'),aac(6')-Ih,64,NG_047297.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ii,AGly,AAC(6'),aac(6')-Ii,65,NG_047298.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-IIa.v1,AGly,AAC(6'),aac(6')-IIa.v1,66,NG_047270.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-IIa.v2,AGly,AAC(6'),aac(6')-IIa.v2,67,NG_052505.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-IIb,AGly,AAC(6'),aac(6')-IIb,68,NG_047272.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-IIc,AGly,AAC(6'),aac(6')-IIc,69,NG_047273.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Iid,AGly,AAC(6'),aac(6')-Iid,70,NG_047299.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Iih,AGly,AAC(6'),aac(6')-Iih,71,NG_047300.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ij,AGly,AAC(6'),aac(6')-Ij,72,NG_047301.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ik,AGly,AAC(6'),aac(6')-Ik,73,NG_047302.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Il,AGly,AAC(6'),aac(6')-Il,74,NG_047303.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Im,AGly,AAC(6'),aac(6')-Im,75,NG_047306.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ip,AGly,AAC(6'),aac(6')-Ip,76,NG_047307.2,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Iq,AGly,AAC(6'),aac(6')-Iq,77,NG_047308.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ir,AGly,AAC(6'),aac(6')-Ir,78,NG_047309.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Is,AGly,AAC(6'),aac(6')-Is,79,NG_047310.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Isa,AGly,AAC(6'),aac(6')-Isa,80,NG_047311.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-It,AGly,AAC(6'),aac(6')-It,81,NG_047312.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Iu,AGly,AAC(6'),aac(6')-Iu,82,NG_047313.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Iv,AGly,AAC(6'),aac(6')-Iv,83,NG_047314.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Iw,AGly,AAC(6'),aac(6')-Iw,84,NG_047315.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ix,AGly,AAC(6'),aac(6')-Ix,85,NG_047316.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Iy,AGly,AAC(6'),aac(6')-Iy,86,AF144880.1:3542-3979,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Iz,AGly,AAC(6'),aac(6')-Iz,87,NG_047317.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aacA43,AGly,AAC(6'),aacA43,89,NG_047321.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,ant(3'')-Ii-aac(6')-Iid,AGly,AAC(6');ANT(3''),ant(3'')-Ii-aac(6')-Iid,90,NG_047218.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ie-aph(2'')-Ia,AGly,AAC(6');APH(2''),aac(6')-Ie-aph(2'')-Ia,91,NG_047055.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-cr3,AGly,AAC(6'),aac(6')-Ib-cr3,2437,NG_052123.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-cr4,AGly,AAC(6'),aac(6')-Ib-cr4,2438,NG_052463.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-cr5,AGly,AAC(6'),aac(6')-Ib-cr5,2439,NG_051711.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-cr6,AGly,AAC(6'),aac(6')-Ib-cr6,2440,NG_047292.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-cr7,AGly,AAC(6'),aac(6')-Ib-cr7,2441,NG_052086.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-cr8,AGly,AAC(6'),aac(6')-Ib-cr8,2442,NG_067970.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-cr9,AGly,AAC(6'),aac(6')-Ib-cr9,2443,NG_067971.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-set_A,AGly,AAC(6'),aac(6')-set_A,3491,NG_052254.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-29,AGly,AAC(6'),aac(6')-29,3492,NG_052220.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-E963,AGly,AAC(6'),aac(6')-E963,3494,NG_242170.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-F309,AGly,AAC(6'),aac(6')-F309,3495,NG_242171.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ia.v1,AGly,AAC(6'),aac(6')-Ia.v1,3496,NG_052217.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-AGKT,AGly,AAC(6'),aac(6')-Ib-AGKT,3497,NG_052219.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-AKT,AGly,AAC(6'),aac(6')-Ib-AKT,3498,NG_056043.1:5-559,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-AKT.v1,AGly,AAC(6'),aac(6')-Ib-AKT.v1,3499,NG_052057.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-AKT.v2,AGly,AAC(6'),aac(6')-Ib-AKT.v2,3500,NG_052262.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-AKT.v3,AGly,AAC(6'),aac(6')-Ib-AKT.v3,3501,NG_052418.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-AKT.v5,AGly,AAC(6'),aac(6')-Ib-AKT.v5,3503,NG_067957.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-D181Y,AGly,AAC(6'),aac(6')-Ib-D181Y,3504,NG_067946.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-D181Y.v1,AGly,AAC(6'),aac(6')-Ib-D181Y.v1,3505,NG_067953.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-G,AGly,AAC(6'),aac(6')-Ib-G,3506,NG_051697.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-G.v1,AGly,AAC(6'),aac(6')-Ib-G.v1,3507,NG_047288.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-G.v2,AGly,AAC(6'),aac(6')-Ib-G.v2,3508,NG_052535.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-G.v4,AGly,AAC(6'),aac(6')-Ib-G.v4,3510,NG_067956.1:26-580,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-G.v5,AGly,AAC(6'),aac(6')-Ib-G.v5,3511,NG_067963.1:51-605,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-W104R,AGly,AAC(6'),aac(6')-Ib-W104R,3512,NG_067951.1:5-559,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-W104R.v1,AGly,AAC(6'),aac(6')-Ib-W104R.v1,3513,NG_067954.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-cr11,AGly,AAC(6'),aac(6')-Ib-cr11,3514,NG_067969.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib11.v1,AGly,AAC(6'),aac(6')-Ib11.v1,3515,NG_052506.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aacA16,AGly,AAC(6'),aacA16,3516,NG_052380.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aacA34,AGly,AAC(6'),aacA34,3517,NG_047319.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aacA43.v1,AGly,AAC(6'),aacA43.v1,3518,NG_052508.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aacA56,AGly,AAC(6'),aacA56,3519,NG_051492.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aacA8,AGly,AAC(6'),aacA8,3520,NG_052107.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-AGKT.v1,AGly,AAC(6'),aac(6')-Ib-AGKT.v1,3684,NG_052283.1:101-658,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-AKT.v6,AGly,AAC(6'),aac(6')-Ib-AKT.v6,3685,NG_047284.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-AKT.v7,AGly,AAC(6'),aac(6')-Ib-AKT.v7,3686,NG_047286.1:52-606,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-AKT.v8,AGly,AAC(6'),aac(6')-Ib-AKT.v8,3687,NG_047289.1:52-606,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-AKT.v9,AGly,AAC(6'),aac(6')-Ib-AKT.v9,3688,NG_052059.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-AKT.v10,AGly,AAC(6'),aac(6')-Ib-AKT.v10,3689,NG_052181.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-AKT.v11,AGly,AAC(6'),aac(6')-Ib-AKT.v11,3690,NG_052182.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-AKT.v12,AGly,AAC(6'),aac(6')-Ib-AKT.v12,3691,NG_052358.1:29-583,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-AKT.v13,AGly,AAC(6'),aac(6')-Ib-AKT.v13,3692,NG_052503.1:101-658,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-AKT.v14,AGly,AAC(6'),aac(6')-Ib-AKT.v14,3693,NG_067948.1:9-563,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-AKT.v15,AGly,AAC(6'),aac(6')-Ib-AKT.v15,3694,NG_067950.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-AKT.v16,AGly,AAC(6'),aac(6')-Ib-AKT.v16,3695,NG_067958.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-AKT.v17,AGly,AAC(6'),aac(6')-Ib-AKT.v17,3696,NG_067961.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-AKT.v18,AGly,AAC(6'),aac(6')-Ib-AKT.v18,3697,NG_067962.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-AKT.v19,AGly,AAC(6'),aac(6')-Ib-AKT.v19,3698,NG_067964.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-cr10,AGly,AAC(6'),aac(6')-Ib-cr10,3699,NG_067968.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-G.v6,AGly,AAC(6'),aac(6')-Ib-G.v6,3700,NG_052024.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-G.v7,AGly,AAC(6'),aac(6')-Ib-G.v7,3701,NG_052063.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-G.v8,AGly,AAC(6'),aac(6')-Ib-G.v8,3702,NG_052274.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-G.v9,AGly,AAC(6'),aac(6')-Ib-G.v9,3703,NG_052303.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-G.v10,AGly,AAC(6'),aac(6')-Ib-G.v10,3704,NG_052328.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-G.v11,AGly,AAC(6'),aac(6')-Ib-G.v11,3705,NG_052349.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-G.v12,AGly,AAC(6'),aac(6')-Ib-G.v12,3706,NG_052361.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-G.v13,AGly,AAC(6'),aac(6')-Ib-G.v13,3707,NG_052414.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-G.v14,AGly,AAC(6'),aac(6')-Ib-G.v14,3708,NG_052481.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-G.v15,AGly,AAC(6'),aac(6')-Ib-G.v15,3709,NG_052517.1:93-647,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-G.v16,AGly,AAC(6'),aac(6')-Ib-G.v16,3710,NG_052520.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-G.v17,AGly,AAC(6'),aac(6')-Ib-G.v17,3711,NG_052628.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-G.v18,AGly,AAC(6'),aac(6')-Ib-G.v18,3712,NG_067947.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-G.v19,AGly,AAC(6'),aac(6')-Ib-G.v19,3713,NG_067949.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-G.v20,AGly,AAC(6'),aac(6')-Ib-G.v20,3714,NG_067952.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-G.v21,AGly,AAC(6'),aac(6')-Ib-G.v21,3715,NG_067959.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-G.v22,AGly,AAC(6'),aac(6')-Ib-G.v22,3716,NG_067960.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-G.v23,AGly,AAC(6'),aac(6')-Ib-G.v23,3717,NG_067965.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-G.v24,AGly,AAC(6'),aac(6')-Ib-G.v24,3718,NG_067966.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-generic,AGly,AAC(6'),aac(6')-Ib-generic,3719,NG_065404.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-generic.v1,AGly,AAC(6'),aac(6')-Ib-generic.v1,3720,NG_067955.1:101-655,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-K,AGly,AAC(6'),aac(6')-Ib-K,3721,NG_047285.1:52-606,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
4,ant(2'')-Ia,AGly,ANT(2''),ant(2'')-Ia,92,NG_047387.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
4,ant(2'')-Ia.v1,AGly,ANT(2''),ant(2'')-Ia.v1,3539,NG_052432.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
4,ant(2'')-Ia.v2,AGly,ANT(2''),ant(2'')-Ia.v2,3540,NG_052363.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
4,ant(2'')-Ia.v3,AGly,ANT(2''),ant(2'')-Ia.v3,3541,NG_064657.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
4,ant(2'')-Ia.v4,AGly,ANT(2''),ant(2'')-Ia.v4,3542,NG_052540.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
5,aadA,AGly,ANT(3''),aadA,93,NG_047324.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
5,aadA1.v1,AGly,ANT(3''),aadA1.v1,94,NG_047326.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
5,aadA10,AGly,ANT(3''),aadA10,95,NG_047329.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
5,aadA11.v1,AGly,ANT(3''),aadA11.v1,96,NG_047331.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
5,aadA11.v2,AGly,ANT(3''),aadA11.v2,97,NG_047330.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
