clusterid,queryID,class,gene,allele,seqID,aro_accession,ncbi_accession,positions,size,cluster_contains_multiple_genes,gene_found_in_multiple_clusters,bla_description,bla_class,CARD_class,ARO_class
2,aac(3)-IIIa,AGly,AAC(3),aac(3)-IIIa,18,ARO_3002536,NG_047241.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-IIIb,AGly,AAC(3),aac(3)-IIIb,19,ARO_3002537,NG_051746.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-IIIc,AGly,AAC(3),aac(3)-IIIc,20,ARO_3002538,NG_047243.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-IV,AGly,AAC(3),aac(3)-IV,21,ARO_3002539,NG_047253.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-IXa,AGly,AAC(3),aac(3)-IXa,22,ARO_3002543,NG_047255.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-VIa,AGly,AAC(3),aac(3)-VIa,23,ARO_3002540,NG_047262.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-VIIa,AGly,AAC(3),aac(3)-VIIa,24,ARO_3002541,NG_047261.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-VIIIa,AGly,AAC(3),aac(3)-VIIIa,25,ARO_3002542,NG_048574.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-Xa,AGly,AAC(3),aac(3)-Xa,26,ARO_3002544,NG_047263.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-Ib/aac(6')-Ib'',AGly,AAC(3);AAC(6'),aac(3)-Ib/aac(6')-Ib'',27,ARO_3002600,NG_047210.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-IIg,AGly,AAC(3),aac(3)-IIg,2435,ARO_3005085,NG_047231.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-IVb,AGly,AAC(3),aac(3)-IVb,2436,ARO_3005061,NG_070718.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-I,AGly,AAC(3),aac(3)-I,3485,RefSeq_NG_047237,NG_047237.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-Ia.v1,AGly,AAC(3),aac(3)-Ia.v1,3487,RefSeq_NG_047234,NG_047234.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-Ia.v2,AGly,AAC(3),aac(3)-Ia.v2,3488,RefSeq_NG_047232,NG_047232.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-Ib.v1,AGly,AAC(3),aac(3)-Ib.v1,3489,RefSeq_NG_047257,NG_047257.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-Via.v1,AGly,AAC(3),aac(3)-Via.v1,3490,RefSeq_NG_052583,NG_052583.3,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-29a,AGly,AAC(6'),aac(6')-29a,28,ARO_3002583,NG_048575.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-29b,AGly,AAC(6'),aac(6')-29b,29,ARO_3002584,NG_048576.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-30/aac(6')-Ib',AGly,AAC(6'),aac(6')-30/aac(6')-Ib',30,ARO_3002599,NG_047213.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-31,AGly,AAC(6'),aac(6')-31,31,ARO_3002585,CP022987.1:2415882-2416400,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-32,AGly,AAC(6'),aac(6')-32,32,ARO_3002586,NG_047266.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-33,AGly,AAC(6'),aac(6')-33,33,ARO_3002587,NG_047267.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-34,AGly,AAC(6'),aac(6')-34,34,ARO_3003989,KX531053.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-I30,AGly,AAC(6'),aac(6')-I30,35,ARO_3002588,NG_047268.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ia,AGly,AAC(6'),aac(6')-Ia,36,ARO_3002545,M18967.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Iaa,AGly,AAC(6'),aac(6')-Iaa,37,ARO_3002571,CP065639.1:2906281-2906718,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Iad,AGly,AAC(6'),aac(6')-Iad,38,ARO_3002572,NG_047276.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Iae,AGly,AAC(6'),aac(6')-Iae,39,ARO_3002573,NG_047277.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Iaf,AGly,AAC(6'),aac(6')-Iaf,40,ARO_3002574,NG_047278.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Iag,AGly,AAC(6'),aac(6')-Iag,41,ARO_3004638,NG_052025.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Iai,AGly,AAC(6'),aac(6')-Iai,42,ARO_3002575,NG_047279.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Iaj,AGly,AAC(6'),aac(6')-Iaj,43,ARO_3003677,NG_051491.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Iak,AGly,AAC(6'),aac(6')-Iak,44,ARO_3003199,NG_047280.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ian,AGly,AAC(6'),aac(6')-Ian,45,ARO_3003200,NG_047282.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib,AGly,AAC(6'),aac(6')-Ib,46,ARO_3002546,NG_047291.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-cr.v1,AGly,AAC(6'),aac(6')-Ib-cr.v1,47,ARG_EF636461,LR698992.1:882282-882800,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-cr.v2,AGly,AAC(6'),aac(6')-Ib-cr.v2,48,ARO_3002547,NZ_CP036175.1:4495138-4495737,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-Hangzhou,AGly,AAC(6'),aac(6')-Ib-Hangzhou,49,ARO_3002592,FJ503047.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-SK,AGly,AAC(6'),aac(6')-Ib-SK,50,ARO_3002593,NG_052084.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-Suzhou,AGly,AAC(6'),aac(6')-Ib-Suzhou,51,ARO_3002591,EF210035.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib'.v1,AGly,AAC(6'),aac(6')-Ib'.v1,52,ARG_NC_015515,CP067618.1:57819-58424,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib'.v2,AGly,AAC(6'),aac(6')-Ib'.v2,53,ARO_3003676,NG_051695.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib10,AGly,AAC(6'),aac(6')-Ib10,54,ARO_3002581,U59183.1:248- 859,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib11,AGly,AAC(6'),aac(6')-Ib11,55,ARO_3002582,NG_048578.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib3,AGly,AAC(6'),aac(6')-Ib3,56,ARO_3002576,CP121592.1:2214-2768,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib4,AGly,AAC(6'),aac(6')-Ib4,57,ARO_3002577,NG_052052.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib7,AGly,AAC(6'),aac(6')-Ib7,58,ARO_3002578,KU530222.1:7413-8198,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib8,AGly,AAC(6'),aac(6')-Ib8,59,ARO_3002579,CP163010.1:428-1105,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib9,AGly,AAC(6'),aac(6')-Ib9,60,ARO_3002580,AF043381.1:252-863,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ic,AGly,AAC(6'),aac(6')-Ic,61,ARO_3002549,NG_047294.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-If,AGly,AAC(6'),aac(6')-If,62,ARO_3002553,NG_047295.2,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ig,AGly,AAC(6'),aac(6')-Ig,63,ARO_3002554,NG_047296.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ih,AGly,AAC(6'),aac(6')-Ih,64,ARO_3002555,NG_047297.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ii,AGly,AAC(6'),aac(6')-Ii,65,ARO_3002556,NG_047298.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-IIa.v1,AGly,AAC(6'),aac(6')-IIa.v1,66,ARG_M29695,NG_047270.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-IIa.v2,AGly,AAC(6'),aac(6')-IIa.v2,67,ARO_3002594,NZ_CP163261.1:123434 -123988,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-IIb,AGly,AAC(6'),aac(6')-IIb,68,ARO_3002595,NG_047272.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-IIc,AGly,AAC(6'),aac(6')-IIc,69,ARO_3002596,NG_047273.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Iid,AGly,AAC(6'),aac(6')-Iid,70,ARO_3002589,NG_047299.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Iih,AGly,AAC(6'),aac(6')-Iih,71,ARO_3002590,NG_047300.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ij,AGly,AAC(6'),aac(6')-Ij,72,ARO_3002557,NG_047301.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ik,AGly,AAC(6'),aac(6')-Ik,73,ARO_3002558,NG_047302.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Il,AGly,AAC(6'),aac(6')-Il,74,ARO_3004635,NG_047303.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Im,AGly,AAC(6'),aac(6')-Im,75,ARO_3004629,NG_047306.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ip,AGly,AAC(6'),aac(6')-Ip,76,ARO_3002559,NG_047307.2,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Iq,AGly,AAC(6'),aac(6')-Iq,77,ARO_3002560,NG_047308.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ir,AGly,AAC(6'),aac(6')-Ir,78,ARO_3002561,NG_047309.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Is,AGly,AAC(6'),aac(6')-Is,79,ARO_3002562,NG_047310.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Isa,AGly,AAC(6'),aac(6')-Isa,80,ARO_3002563,NG_047311.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-It,AGly,AAC(6'),aac(6')-It,81,ARO_3002564,NG_047312.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Iu,AGly,AAC(6'),aac(6')-Iu,82,ARO_3002565,NG_047313.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Iv,AGly,AAC(6'),aac(6')-Iv,83,ARO_3002566,NG_047314.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Iw,AGly,AAC(6'),aac(6')-Iw,84,ARO_3002567,NG_047315.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ix,AGly,AAC(6'),aac(6')-Ix,85,ARO_3002568,NG_047316.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Iy,AGly,AAC(6'),aac(6')-Iy,86,ARO_3002569,AF144880.1:3542-3979,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Iz,AGly,AAC(6'),aac(6')-Iz,87,ARO_3002570,NG_047317.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aacA43,AGly,AAC(6'),aacA43,89,ARO_3004641,NG_047321.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,ant(3'')-Ii-aac(6')-Iid,AGly,AAC(6');ANT(3''),ant(3'')-Ii-aac(6')-Iid,90,ARO_3002598,NG_047218.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ie-aph(2'')-Ia,AGly,AAC(6');APH(2''),aac(6')-Ie-aph(2'')-Ia,91,ARO_3002597,NG_047055.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-cr3,AGly,AAC(6'),aac(6')-Ib-cr3,2437,ARO_3005112,NG_052123.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-cr4,AGly,AAC(6'),aac(6')-Ib-cr4,2438,ARO_3005114,NG_052463.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-cr5,AGly,AAC(6'),aac(6')-Ib-cr5,2439,ARO_3005115,NG_051711.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-cr6,AGly,AAC(6'),aac(6')-Ib-cr6,2440,ARO_3005116,NG_047292.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-cr7,AGly,AAC(6'),aac(6')-Ib-cr7,2441,ARO_3005117,NZ_JAOVAI010000192.1:63-617,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-cr8,AGly,AAC(6'),aac(6')-Ib-cr8,2442,ARO_3005118,NG_067970.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-cr9,AGly,AAC(6'),aac(6')-Ib-cr9,2443,ARO_3005119,NG_067971.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-set_A,AGly,AAC(6'),aac(6')-set_A,3491,RefSeq_NG_052254,NG_052254.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-29,AGly,AAC(6'),aac(6')-29,3492,RefSeq_NG_052220,NG_052220.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-31.v1,AGly,AAC(6'),aac(6')-31.v1,3493,RefSeq_NG_047265,NG_047265.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-E963,AGly,AAC(6'),aac(6')-E963,3494,RefSeq_NG_242170,NG_242170.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-F309,AGly,AAC(6'),aac(6')-F309,3495,RefSeq_NG_242171,NG_242171.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ia.v1,AGly,AAC(6'),aac(6')-Ia.v1,3496,RefSeq_NG_052217,NG_052217.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-AGKT,AGly,AAC(6'),aac(6')-Ib-AGKT,3497,RefSeq_NG_052219,NG_052219.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-AKT,AGly,AAC(6'),aac(6')-Ib-AKT,3498,RefSeq_NG_056043,NG_056043.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-AKT.v1,AGly,AAC(6'),aac(6')-Ib-AKT.v1,3499,RefSeq_NG_052057,NG_052057.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-AKT.v2,AGly,AAC(6'),aac(6')-Ib-AKT.v2,3500,RefSeq_NG_052262,NG_052262.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-AKT.v3,AGly,AAC(6'),aac(6')-Ib-AKT.v3,3501,RefSeq_NG_052418,NG_052418.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-AKT.v4,AGly,AAC(6'),aac(6')-Ib-AKT.v4,3502,RefSeq_NG_067950,NG_067950.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-AKT.v5,AGly,AAC(6'),aac(6')-Ib-AKT.v5,3503,RefSeq_NG_067957,NG_067957.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-D181Y,AGly,AAC(6'),aac(6')-Ib-D181Y,3504,RefSeq_NG_067946,NG_067946.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-D181Y.v1,AGly,AAC(6'),aac(6')-Ib-D181Y.v1,3505,RefSeq_NG_067953,NG_067953.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-G,AGly,AAC(6'),aac(6')-Ib-G,3506,RefSeq_NG_051697,NG_051697.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-G.v1,AGly,AAC(6'),aac(6')-Ib-G.v1,3507,RefSeq_NG_047288,NG_047288.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-G.v2,AGly,AAC(6'),aac(6')-Ib-G.v2,3508,RefSeq_NG_052535,NG_052535.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-G.v4,AGly,AAC(6'),aac(6')-Ib-G.v4,3510,RefSeq_NG_067956,NG_067956.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-G.v5,AGly,AAC(6'),aac(6')-Ib-G.v5,3511,RefSeq_NG_067963,NG_067963.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-W104R,AGly,AAC(6'),aac(6')-Ib-W104R,3512,RefSeq_NG_067951,NG_067951.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-W104R.v1,AGly,AAC(6'),aac(6')-Ib-W104R.v1,3513,RefSeq_NG_067954,NG_067954.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib-cr11,AGly,AAC(6'),aac(6')-Ib-cr11,3514,RefSeq_NG_067969,NG_067969.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aac(6')-Ib11.v1,AGly,AAC(6'),aac(6')-Ib11.v1,3515,RefSeq_NG_052506,NG_052506.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aacA16,AGly,AAC(6'),aacA16,3516,RefSeq_NG_052380,NG_052380.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aacA34,AGly,AAC(6'),aacA34,3517,RefSeq_NG_047319,NG_047319.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aacA43.v1,AGly,AAC(6'),aacA43.v1,3518,RefSeq_NG_052508,NG_052508.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aacA56,AGly,AAC(6'),aacA56,3519,RefSeq_NG_051492,NG_051492.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
3,aacA8,AGly,AAC(6'),aacA8,3520,RefSeq_NG_052107,NG_052107.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
4,ant(2'')-Ia,AGly,ANT(2''),ant(2'')-Ia,92,ARO_3000230,NG_047387.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
4,ant(2'')-Ia.v1,AGly,ANT(2''),ant(2'')-Ia.v1,3539,RefSeq_NG_052432,NG_052432.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
4,ant(2'')-Ia.v2,AGly,ANT(2''),ant(2'')-Ia.v2,3540,RefSeq_NG_052363,NG_052363.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
4,ant(2'')-Ia.v3,AGly,ANT(2''),ant(2'')-Ia.v3,3541,RefSeq_NG_064657,NG_064657.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
4,ant(2'')-Ia.v4,AGly,ANT(2''),ant(2'')-Ia.v4,3542,RefSeq_NG_052540,NG_052540.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
5,aadA,AGly,ANT(3''),aadA,93,ARO_3002601,NG_047324.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
5,aadA1.v1,AGly,ANT(3''),aadA1.v1,94,ARG_M95287,NG_047326.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
5,aadA10,AGly,ANT(3''),aadA10,95,ARO_3004692,NG_047329.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
5,aadA11.v1,AGly,ANT(3''),aadA11.v1,96,ARG_AJ567827,NG_047331.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
5,aadA11.v2,AGly,ANT(3''),aadA11.v2,97,ARO_3002611,NG_047330.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
5,aadA12,AGly,ANT(3''),aadA12,98,ARO_3002612,NG_047333.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
5,aadA13,AGly,ANT(3''),aadA13,99,ARO_3002613,NG_047334.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
5,aadA14,AGly,ANT(3''),aadA14,100,ARO_3002614,NG_047337.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
5,aadA15,AGly,ANT(3''),aadA15,101,ARO_3002615,NG_047338.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
5,aadA16,AGly,ANT(3''),aadA16,102,ARO_3002616,NG_047340.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
5,aadA17,AGly,ANT(3''),aadA17,103,ARO_3002617,NG_047341.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
5,aadA2,AGly,ANT(3''),aadA2,104,ARO_3002602,AP026458.1:3509-4288,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
5,aadA21,AGly,ANT(3''),aadA21,105,ARO_3002618,NG_047344.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
5,aadA22,AGly,ANT(3''),aadA22,106,ARO_3002619,NG_047346.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
5,aadA23,AGly,ANT(3''),aadA23,107,ARO_3002620,NZ_UJAI01000072.1:146-925,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
5,aadA24,AGly,ANT(3''),aadA24,108,ARO_3002621,CP168992.1:32890-33669,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
5,aadA25,AGly,ANT(3''),aadA25,109,ARO_3003197,NG_047352.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
5,aadA27,AGly,ANT(3''),aadA27,110,ARO_3004682,NG_054660.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
5,aadA3,AGly,ANT(3''),aadA3,111,ARO_3002603,NG_047353.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
5,aadA4.v1,AGly,ANT(3''),aadA4.v1,112,ARG_Z50802,NG_047355.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
5,aadA4.v2,AGly,ANT(3''),aadA4.v2,113,ARO_3002604,NG_047356.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
5,aadA5,AGly,ANT(3''),aadA5,114,ARO_3002605,NG_047357.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
5,aadA6,AGly,ANT(3''),aadA6,115,ARO_3002606,NG_047359.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
5,aadA6/aadA10,AGly,ANT(3''),aadA6/aadA10,116,ARO_3002622,NG_047360.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
